Customer ID,Customer Name,Customer Email,Age Group,Total Purchases,Amount Spent,Customer Since
CID0023,Albert Clark,albert.clark@gmail.com,66 to 70,59,8998.09,2017
CID0024,Alex Browning,alex.browning@gmail.com,26 to 35,65,8311.87,2018
CID0025,Alex Davenport,alex.davenport@gmail.com,26 to 35,97,7728.88,2018
CID0026,Alex Davidson,alex.davidson@gmail.com,26 to 35,90,6420.23,2013
CID0027,Alex Davis,alex.davis@gmail.com,18 to 25,21,9228.89,2017
CID0028,Alex Davison,alex.davison@gmail.com,18 to 25,42,6342.83,2017
CID0029,Alex Hamiltonshire,alex.hamiltonshire@gmail.com,56 to 65,57,5094.58,2018
CID0030,Alex Joneson,alex.joneson@gmail.com,56 to 65,77,1127.9,2018
CID0031,Alex Millerfield,alex.millerfield@gmail.com,66 to 70,14,1194.77,2013
CID0032,Alex Mooreland,alex.mooreland@gmail.com,46 to 55,71,267.3,2012
CID0033,Alex Smithson,alex.smithson@gmail.com,36 to 45,90,4993.17,2013
CID0034,Alex Taylorson,alex.taylorson@gmail.com,66 to 70,2,1117.93,2011
CID0035,Alex Williamson,alex.williamson@gmail.com,18 to 25,50,9843.33,2017
CID0036,Alexander Leet,alexander.leet@gmail.com,26 to 35,2,7518.06,2016
CID0037,Alexander Youngs,alexander.youngs@gmail.com,56 to 65,12,6651.34,2013
CID0038,Alexandra Harris,alexandra.harris@gmail.com,26 to 35,46,9258.33,2018
CID0039,Alexis Walker,alexis.walker@gmail.com,46 to 55,30,4040.6,2022
CID0040,Alice Davis,alice.davis@gmail.com,26 to 35,13,2442.8,2016
CID0041,Amanda Young,amanda.young@gmail.com,18 to 25,10,721.77,2010
CID0042,Amelia Clark,amelia.clark@gmail.com,26 to 35,95,112.12,2022
CID0043,Amelia Robertsson,amelia.robertsson@gmail.com,36 to 45,69,3980.19,2022
CID0044,Amy Lewis,amy.lewis@gmail.com,46 to 55,88,1795.01,2022
CID0045,Andrew Scott,andrew.scott@gmail.com,66 to 70,91,3158.24,2017
CID0046,Andrew Wrightson,andrew.wrightson@gmail.com,56 to 65,28,4713.13,2017
CID0047,Angela White,angela.white@gmail.com,66 to 70,16,2580.4,2023
CID0048,Anita Davis,anita.davis@gmail.com,56 to 65,52,5558.63,2023
CID0049,Annabelle Johnson,annabelle.johnson@gmail.com,66 to 70,15,1049.37,2020
CID0050,Anthony Martin,anthony.martin@gmail.com,36 to 45,2,4959.56,2014
CID0051,Anthony Wright,anthony.wright@gmail.com,18 to 25,47,726.49,2010
CID0052,April Harris,april.harris@gmail.com,36 to 45,4,775.81,2010
CID0053,Aria Robinsonville,aria.robinsonville@gmail.com,46 to 55,60,1089.87,2016
CID0054,Ariana Smith,ariana.smith@gmail.com,56 to 65,10,1010.36,2022
CID0055,Arthur Johnson,arthur.johnson@gmail.com,26 to 35,28,6595.3,2022
CID0056,Ashley Wilson,ashley.wilson@gmail.com,56 to 65,95,5401.05,2013
CID0057,Austin Young,austin.young@gmail.com,18 to 25,48,4245.52,2015
CID0058,Ava Adamsfield,ava.adamsfield@gmail.com,26 to 35,33,5797.53,2010
CID0059,Ava Brownstone,ava.brownstone@gmail.com,26 to 35,3,1530.79,2016
CID0060,Ava Clarkson,ava.clarkson@gmail.com,18 to 25,63,5269.19,2017
CID0061,Ava Hilltop,ava.hilltop@gmail.com,18 to 25,35,1830.69,2017
CID0062,Ava Leefield,ava.leefield@gmail.com,66 to 70,14,172.69,2020
CID0063,Ava Martinez,ava.martinez@gmail.com,66 to 70,91,8280.36,2020
CID0064,Ava Martinezville,ava.martinezville@gmail.com,46 to 55,56,5965.56,2020
CID0065,Ava Scottland,ava.scottland@gmail.com,18 to 25,95,7144,2023
CID0066,Ava Walkerfield,ava.walkerfield@gmail.com,46 to 55,57,6561.93,2015
CID0067,Ava Youngs,ava.youngs@gmail.com,56 to 65,93,3668.94,2014
CID0068,Avery Brown,avery.brown@gmail.com,66 to 70,9,9725.34,2020
CID0069,Barbara Lee,barbara.lee@gmail.com,18 to 25,21,2800.13,2015
CID0070,Barry Harris,barry.harris@gmail.com,36 to 45,33,8167.47,2022
CID0071,Beatrice Scott,beatrice.scott@gmail.com,56 to 65,53,9687.5,2016
CID0072,Bella Green,bella.green@gmail.com,66 to 70,22,8526.26,2011
CID0073,Ben Harris,ben.harris@gmail.com,26 to 35,60,3963.38,2019
CID0074,Benjamin Kingman,benjamin.kingman@gmail.com,26 to 35,22,975.13,2018
CID0075,Benjamin Leevers,benjamin.leevers@gmail.com,46 to 55,91,9570.6,2020
CID0076,Benjamin Lewiston,benjamin.lewiston@gmail.com,66 to 70,43,4256.41,2011
CID0077,Benjamin Scottfield,benjamin.scottfield@gmail.com,66 to 70,24,976.47,2013
CID0078,Benjamin Turner,benjamin.turner@gmail.com,56 to 65,14,2713.67,2015
CID0079,Benjamin Walkerman,benjamin.walkerman@gmail.com,46 to 55,61,3813.13,2021
CID0080,Benjamin Whitefield,benjamin.whitefield@gmail.com,66 to 70,78,5425.01,2012
CID0081,Bernard Clark,bernard.clark@gmail.com,36 to 45,57,9617.01,2021
CID0082,Bethany Brown,bethany.brown@gmail.com,18 to 25,34,468.71,2021
CID0083,Bill Davis,bill.davis@gmail.com,36 to 45,57,5524.74,2016
CID0084,Blake Johnson,blake.johnson@gmail.com,36 to 45,1,5744.18,2012
CID0085,Brandon Harris,brandon.harris@gmail.com,26 to 35,63,7205.72,2021
CID0086,Brenda Green,brenda.green@gmail.com,56 to 65,57,7236.61,2013
CID0087,Brian White,brian.white@gmail.com,46 to 55,40,6529.84,2022
CID0088,Brittany Lewis,brittany.lewis@gmail.com,36 to 45,12,9858.34,2022
CID0089,Brooke Scott,brooke.scott@gmail.com,56 to 65,40,5379.25,2013
CID0090,Bruce Johnson,bruce.johnson@gmail.com,56 to 65,26,1143.52,2022
CID0091,Bryan Walker,bryan.walker@gmail.com,18 to 25,94,5178.52,2013
CID0092,Caitlyn Brown,caitlyn.brown@gmail.com,36 to 45,26,9791.83,2013
CID0093,Caleb Whitestone,caleb.whitestone@gmail.com,36 to 45,7,770.79,2023
CID0094,Calvin Green,calvin.green@gmail.com,66 to 70,40,682.34,2011
CID0095,Cameron Harris,cameron.harris@gmail.com,56 to 65,88,8808.25,2014
CID0096,Camilia Larrson,camilia.larrson@gmail.com,66 to 70,82,4663.89,2020
CID0097,Carl Johnson,carl.johnson@gmail.com,46 to 55,81,2200.46,2021
CID0098,Carla White,carla.white@gmail.com,66 to 70,11,4909.89,2014
CID0099,Carmen Scott,carmen.scott@gmail.com,26 to 35,56,2721.61,2015
CID0100,Carol Davis,carol.davis@gmail.com,46 to 55,35,3924.69,2023
CID0101,Carson Young,carson.young@gmail.com,66 to 70,39,4431.08,2019
CID0102,Cassandra Lewis,cassandra.lewis@gmail.com,26 to 35,79,2107.1,2016
CID0103,Charles Davis,charles.davis@gmail.com,66 to 70,76,3140.12,2020
CID0104,Charlotte Brownwood,charlotte.brownwood@gmail.com,36 to 45,17,4360.41,2017
CID0105,Charlotte Clarkson,charlotte.clarkson@gmail.com,56 to 65,83,4926.04,2017
CID0106,Charlotte Davisville,charlotte.davisville@gmail.com,66 to 70,3,2309.7,2023
CID0107,Charlotte Green,charlotte.green@gmail.com,26 to 35,22,157.51,2022
CID0108,Charlotte Greenfield,charlotte.greenfield@gmail.com,56 to 65,37,1043.96,2016
CID0109,Charlotte Johnsonson,charlotte.johnsonson@gmail.com,18 to 25,70,6901.97,2018
CID0110,Charlotte Kingman,charlotte.kingman@gmail.com,36 to 45,45,9779.94,2015
CID0111,Charlotte Lewisfield,charlotte.lewisfield@gmail.com,46 to 55,47,5743.39,2015
CID0112,Charlotte Scottson,charlotte.scottson@gmail.com,18 to 25,64,4181.76,2019
CID0113,Charlotte Walkerfield,charlotte.walkerfield@gmail.com,36 to 45,67,4229.66,2017
CID0114,Charlotte Whitehouse,charlotte.whitehouse@gmail.com,46 to 55,44,9483.2,2017
CID0115,Charlotte Youngs,charlotte.youngs@gmail.com,66 to 70,4,8767.28,2020
CID0116,Chloe Adamsville,chloe.adamsville@gmail.com,46 to 55,99,7052.45,2015
CID0117,Chloe Clarkston,chloe.clarkston@gmail.com,56 to 65,76,303.9,2020
CID0118,Chloe Davisfield,chloe.davisfield@gmail.com,46 to 55,45,3386.24,2014
CID0119,Chloe Lewisburg,chloe.lewisburg@gmail.com,36 to 45,8,6226,2018
CID0120,Chloe Walkerfield,chloe.walkerfield@gmail.com,26 to 35,22,7074.07,2010
CID0121,Chloe Williams,chloe.williams@gmail.com,66 to 70,3,7013.25,2015
CID0122,Chris Browning,chris.browning@gmail.com,56 to 65,8,9235.78,2017
CID0123,Chris Davids,chris.davids@gmail.com,26 to 35,95,6924.58,2021
CID0124,Chris Davidson,chris.davidson@gmail.com,66 to 70,38,6568.61,2019
CID0125,Chris Davisfield,chris.davisfield@gmail.com,46 to 55,68,476.42,2013
CID0126,Chris Davison,chris.davison@gmail.com,56 to 65,16,6665.74,2010
CID0127,Chris Johnsonson,chris.johnsonson@gmail.com,18 to 25,93,6856.97,2023
CID0128,Chris Jonesfield,chris.jonesfield@gmail.com,46 to 55,9,6019.41,2018
CID0129,Chris Millerfield,chris.millerfield@gmail.com,66 to 70,2,3901.46,2015
CID0130,Chris Mooreland,chris.mooreland@gmail.com,26 to 35,99,838.94,2012
CID0131,Chris Smithson,chris.smithson@gmail.com,56 to 65,56,132.51,2017
CID0132,Chris Taylor,chris.taylor@gmail.com,56 to 65,69,1055.77,2018
CID0133,Chris Taylorson,chris.taylorson@gmail.com,66 to 70,47,9515.72,2022
CID0134,Chris Williamson,chris.williamson@gmail.com,46 to 55,93,1590.71,2016
CID0135,Chris Wilsonson,chris.wilsonson@gmail.com,56 to 65,65,9109.06,2012
CID0136,Christopher Symonds,christopher.symonds@gmail.com,26 to 35,85,1224.3,2011
CID0137,Clara Brown,clara.brown@gmail.com,56 to 65,61,6856.77,2022
CID0138,Clifford White,clifford.white@gmail.com,18 to 25,13,2030.19,2010
CID0139,Colleen Harris,colleen.harris@gmail.com,56 to 65,64,8540.14,2021
CID0140,Connie Walker,connie.walker@gmail.com,56 to 65,13,2304.89,2020
CID0141,Craig Lewis,craig.lewis@gmail.com,66 to 70,85,5293.72,2011
CID0142,Crystal Johnson,crystal.johnson@gmail.com,36 to 45,45,8712.83,2017
CID0143,Curtis Davis,curtis.davis@gmail.com,56 to 65,53,7234.49,2016
CID0144,Daisy Smith,daisy.smith@gmail.com,36 to 45,40,7686.43,2012
CID0145,Dakota Harris,dakota.harris@gmail.com,56 to 65,85,4445.1,2020
CID0146,Daniel Allenfield,daniel.allenfield@gmail.com,46 to 55,27,4908.64,2016
CID0147,Daniel Brownstone,daniel.brownstone@gmail.com,66 to 70,85,2831.71,2010
CID0148,Daniel Clarkson,daniel.clarkson@gmail.com,36 to 45,98,3607.84,2018
CID0149,Daniel Davisfield,daniel.davisfield@gmail.com,56 to 65,41,9777.45,2013
CID0150,Daniel Greenway,daniel.greenway@gmail.com,26 to 35,47,6062.84,2012
CID0151,Daniel Harrington,daniel.harrington@gmail.com,56 to 65,91,1444.52,2023
CID0152,Daniel Johnsonson,daniel.johnsonson@gmail.com,18 to 25,31,3740.02,2020
CID0153,Daniel Leewood,daniel.leewood@gmail.com,18 to 25,60,6673.19,2017
CID0154,Daniel Lewis,daniel.lewis@gmail.com,46 to 55,28,2461.34,2012
CID0155,Daniel Lewisfield,daniel.lewisfield@gmail.com,66 to 70,77,243.35,2018
CID0156,Daniel Scottman,daniel.scottman@gmail.com,46 to 55,91,6540.43,2015
CID0157,Daniel Thomason,daniel.thomason@gmail.com,66 to 70,29,5465.99,2010
CID0158,Daniel Walkerfield,daniel.walkerfield@gmail.com,26 to 35,30,3055.59,2012
CID0159,Daniel Whitehouse,daniel.whitehouse@gmail.com,36 to 45,35,6629.53,2011
CID0160,Daniel Youngs,daniel.youngs@gmail.com,18 to 25,56,9867.65,2019
CID0161,Darren Brown,darren.brown@gmail.com,36 to 45,8,5567.85,2011
CID0162,David Davidson,david.davidson@gmail.com,46 to 55,74,273.64,2013
CID0163,David Davis,david.davis@gmail.com,18 to 25,52,1205.69,2022
CID0164,David Davisfield,david.davisfield@gmail.com,26 to 35,49,8592.71,2015
CID0165,David Davison,david.davison@gmail.com,26 to 35,3,2663.37,2016
CID0166,David Jonesfield,david.jonesfield@gmail.com,36 to 45,34,9476.74,2022
CID0167,David Millerfield,david.millerfield@gmail.com,26 to 35,74,4048.14,2017
CID0168,David Mooreland,david.mooreland@gmail.com,36 to 45,23,7313.05,2014
CID0169,David Smithson,david.smithson@gmail.com,46 to 55,21,6781.67,2018
CID0170,David Walker,david.walker@gmail.com,56 to 65,90,4538.84,2019
CID0171,David Williamson,david.williamson@gmail.com,56 to 65,14,2792.89,2020
CID0172,David Wilsonfield,david.wilsonfield@gmail.com,26 to 35,35,6326.73,2010
CID0173,Dawn Young,dawn.young@gmail.com,36 to 45,80,7786.87,2018
CID0174,Deanna Clark,deanna.clark@gmail.com,56 to 65,12,7939.43,2014
CID0175,Dennis Johnson,dennis.johnson@gmail.com,26 to 35,96,8356.64,2021
CID0176,Diana Smith,diana.smith@gmail.com,66 to 70,15,6131.81,2023
CID0177,Diane White,diane.white@gmail.com,26 to 35,64,463.21,2011
CID0178,Donald Harris,donald.harris@gmail.com,56 to 65,21,9807.53,2012
CID0179,Donna Green,donna.green@gmail.com,56 to 65,52,8229.43,2022
CID0180,Doris Young,doris.young@gmail.com,56 to 65,35,1847.15,2012
CID0181,Douglas Lewis,douglas.lewis@gmail.com,56 to 65,5,1188.59,2014
CID0182,Drew Scott,drew.scott@gmail.com,46 to 55,87,6283.47,2015
CID0183,Dylan Brown,dylan.brown@gmail.com,56 to 65,6,5446.43,2011
CID0184,Edith Clark,edith.clark@gmail.com,18 to 25,18,4744.46,2011
CID0185,Elaine Johnson,elaine.johnson@gmail.com,66 to 70,89,5801.37,2016
CID0186,Eleanor White,eleanor.white@gmail.com,56 to 65,47,8266.61,2016
CID0187,Elijah Davisfield,elijah.davisfield@gmail.com,18 to 25,15,6130.98,2015
CID0188,Elijah Martinson,elijah.martinson@gmail.com,56 to 65,71,9449.06,2010
CID0189,Elizabeth Harris,elizabeth.harris@gmail.com,46 to 55,97,4143.64,2016
CID0190,Ella Brownfield,ella.brownfield@gmail.com,66 to 70,23,7298.88,2019
CID0191,Ella Davisfield,ella.davisfield@gmail.com,66 to 70,62,9110.25,2020
CID0192,Ella Johnsonson,ella.johnsonson@gmail.com,56 to 65,99,6604.14,2017
CID0193,Ella Scottman,ella.scottman@gmail.com,56 to 65,25,3444.19,2023
CID0194,Ella Thomason,ella.thomason@gmail.com,46 to 55,50,7587.54,2018
CID0195,Ella Whitehouse,ella.whitehouse@gmail.com,26 to 35,48,9772.13,2019
CID0196,Ella Youngs,ella.youngs@gmail.com,46 to 55,78,1475.84,2011
CID0197,Emily Adamsfield,emily.adamsfield@gmail.com,36 to 45,96,4601.82,2011
CID0198,Emily Clarkson,emily.clarkson@gmail.com,46 to 55,5,5825.23,2022
CID0199,Emily Johnsonson,emily.johnsonson@gmail.com,66 to 70,55,5148.99,2012
CID0200,Emily Martinson,emily.martinson@gmail.com,56 to 65,5,1716.07,2010
CID0201,Emily Scottson,emily.scottson@gmail.com,36 to 45,57,8258.31,2019
CID0202,Emily Walkerfield,emily.walkerfield@gmail.com,18 to 25,55,8546.44,2018
CID0203,Emily White,emily.white@gmail.com,36 to 45,31,7033.93,2017
CID0204,Emma Andersonfield,emma.andersonfield@gmail.com,26 to 35,38,4304.39,2015
CID0205,Emma Brownstone,emma.brownstone@gmail.com,36 to 45,97,5339.72,2017
CID0206,Emma Clarkson,emma.clarkson@gmail.com,36 to 45,74,4591.16,2014
CID0207,Emma Davis,emma.davis@gmail.com,18 to 25,6,2294.83,2018
CID0208,Emma Davisfield,emma.davisfield@gmail.com,66 to 70,85,7108.26,2021
CID0209,Emma Greenway,emma.greenway@gmail.com,26 to 35,38,5627.2,2023
CID0210,Emma Harrington,emma.harrington@gmail.com,26 to 35,93,4748.94,2023
CID0211,Emma Johnsonson,emma.johnsonson@gmail.com,66 to 70,18,8320.67,2016
CID0212,Emma Kingman,emma.kingman@gmail.com,56 to 65,64,2013.6,2019
CID0213,Emma Lewisfield,emma.lewisfield@gmail.com,46 to 55,48,1916.42,2016
CID0214,Emma Martinezville,emma.martinezville@gmail.com,46 to 55,32,8233.29,2012
CID0215,Emma Scottman,emma.scottman@gmail.com,36 to 45,11,7875.73,2010
CID0216,Emma Walkerfield,emma.walkerfield@gmail.com,26 to 35,67,7460.64,2014
CID0217,Emma Whitehouse,emma.whitehouse@gmail.com,56 to 65,7,7698.87,2020
CID0218,Eric Green,eric.green@gmail.com,26 to 35,27,3997.93,2010
CID0219,Erin Brown,erin.brown@gmail.com,66 to 70,69,6606.7,2010
CID0220,Ethan Brownfield,ethan.brownfield@gmail.com,36 to 45,80,1808.06,2018
CID0221,Ethan Harrington,ethan.harrington@gmail.com,66 to 70,20,1581.79,2020
CID0222,Ethan Wilsonson,ethan.wilsonson@gmail.com,26 to 35,75,5362.8,2022
CID0223,Ethan Young,ethan.young@gmail.com,46 to 55,31,316.64,2011
CID0224,Ethan Youngs,ethan.youngs@gmail.com,66 to 70,64,6940.88,2022
CID0225,Evelyn Harris,evelyn.harris@gmail.com,56 to 65,50,3038.28,2016
CID0226,Faith Lewis,faith.lewis@gmail.com,36 to 45,84,8620.54,2012
CID0227,Felix Johnson,felix.johnson@gmail.com,56 to 65,42,205.6,2021
CID0228,Fiona Clark,fiona.clark@gmail.com,36 to 45,36,5746.01,2019
CID0229,Frances Brown,frances.brown@gmail.com,36 to 45,47,2614.73,2012
CID0230,Frank Scott,frank.scott@gmail.com,18 to 25,97,7756.7,2018
CID0231,Fred White,fred.white@gmail.com,66 to 70,61,4880.91,2013
CID0232,Gabriel Lewisfield,gabriel.lewisfield@gmail.com,18 to 25,90,748.68,2019
CID0233,Gail Harris,gail.harris@gmail.com,46 to 55,31,8653.04,2020
CID0234,Gavin Davis,gavin.davis@gmail.com,46 to 55,66,1143,2012
CID0235,Georgia Young,georgia.young@yahoo.com,66 to 70,58,290.58,2011
CID0236,Gerald Lewis,gerald.lewis@yahoo.com,36 to 45,67,5130.98,2022
CID0237,Gina Johnson,gina.johnson@yahoo.com,56 to 65,99,1769.1,2023
CID0238,Grace Andersonfield,grace.andersonfield@yahoo.com,18 to 25,47,1444.25,2020
CID0239,Grace Davisfield,grace.davisfield@yahoo.com,66 to 70,77,9049.43,2018
CID0240,Grace Greenway,grace.greenway@yahoo.com,46 to 55,47,3200.41,2023
CID0241,Grace Lewisfield,grace.lewisfield@yahoo.com,56 to 65,60,8188.52,2018
CID0242,Grace Walkerfield,grace.walkerfield@yahoo.com,26 to 35,33,9233.93,2019
CID0243,Grace White,grace.white@yahoo.com,56 to 65,35,6125.2,2021
CID0244,Greg Scott,greg.scott@yahoo.com,26 to 35,68,5695.16,2011
CID0245,Greta Green,greta.green@yahoo.com,46 to 55,21,2795.46,2012
CID0246,Gwen Harris,gwen.harris@yahoo.com,36 to 45,56,683.87,2021
CID0247,Hailey Davis,hailey.davis@yahoo.com,66 to 70,30,8388.64,2019
CID0248,Hannah Brown,hannah.brown@yahoo.com,18 to 25,45,5821.78,2017
CID0249,Harper Thompsonson,harper.thompsonson@yahoo.com,18 to 25,74,4289.77,2013
CID0250,Harry Johnson,harry.johnson@yahoo.com,66 to 70,99,6166.4,2019
CID0251,Hazel Clark,hazel.clark@yahoo.com,26 to 35,33,8869.17,2012
CID0252,Heather White,heather.white@yahoo.com,46 to 55,6,2234.44,2022
CID0253,Heidi Harris,heidi.harris@yahoo.com,18 to 25,59,5096.34,2018
CID0254,Henry Brownstone,henry.brownstone@yahoo.com,46 to 55,33,6649.41,2017
CID0255,Henry Clarkson,henry.clarkson@yahoo.com,46 to 55,96,1129.52,2012
CID0256,Henry Harrington,henry.harrington@yahoo.com,56 to 65,24,8030.4,2020
CID0257,Henry Johnsonson,henry.johnsonson@yahoo.com,66 to 70,62,5465.81,2012
CID0258,Henry Leewood,henry.leewood@yahoo.com,66 to 70,74,3213.73,2023
CID0259,Henry Taylorson,henry.taylorson@yahoo.com,56 to 65,12,9037.94,2021
CID0260,Henry Young,henry.young@yahoo.com,56 to 65,17,6265.8,2022
CID0261,Holly Lewis,holly.lewis@yahoo.com,66 to 70,83,7514.28,2021
CID0262,Hope Brown,hope.brown@yahoo.com,18 to 25,45,1065.99,2021
CID0263,Hugh Scott,hugh.scott@yahoo.com,26 to 35,7,3778.83,2022
CID0264,Ian Green,ian.green@yahoo.com,46 to 55,68,3306.99,2023
CID0265,Irene White,irene.white@yahoo.com,46 to 55,43,9930.39,2015
CID0266,Iris Johnson,iris.johnson@yahoo.com,26 to 35,66,2902.48,2020
CID0267,Isaac Davis,isaac.davis@yahoo.com,36 to 45,19,3794.8,2017
CID0268,Isabella Brownwood,isabella.brownwood@yahoo.com,66 to 70,34,8818.56,2016
CID0269,Isabella Davisfield,isabella.davisfield@yahoo.com,46 to 55,83,9333.86,2014
CID0270,Isabella Lewisfield,isabella.lewisfield@yahoo.com,36 to 45,48,6334.77,2017
CID0271,Isabella Whitehouse,isabella.whitehouse@yahoo.com,18 to 25,67,1865.58,2013
CID0272,Jack Davisfield,jack.davisfield@yahoo.com,36 to 45,38,3736.51,2019
CID0273,Jack Greenway,jack.greenway@yahoo.com,36 to 45,30,4893.26,2010
CID0274,Jack Harrington,jack.harrington@yahoo.com,36 to 45,81,478.91,2015
CID0275,Jack Leewood,jack.leewood@yahoo.com,66 to 70,4,154.69,2012
CID0276,Jack Lewis,jack.lewis@yahoo.com,18 to 25,18,7313.68,2017
CID0277,Jackson Brownfield,jackson.brownfield@yahoo.com,66 to 70,41,7925.37,2022
CID0278,Jackson Peters,jackson.peters@yahoo.com,56 to 65,2,7097.34,2019
CID0279,Jackson Wilsonson,jackson.wilsonson@yahoo.com,66 to 70,32,9806.56,2021
CID0280,Jacob Andersonfield,jacob.andersonfield@yahoo.com,18 to 25,95,4167.7,2016
CID0281,Jacob Brown,jacob.brown@yahoo.com,46 to 55,7,1551.51,2017
CID0282,Jacob Davisfield,jacob.davisfield@yahoo.com,66 to 70,58,3445.48,2022
CID0283,Jacob Hallwood,jacob.hallwood@yahoo.com,66 to 70,60,4950.98,2011
CID0284,Jacob Harrington,jacob.harrington@yahoo.com,66 to 70,99,1710.56,2020
CID0285,Jacob Lewisfield,jacob.lewisfield@yahoo.com,26 to 35,15,4634.28,2014
CID0286,Jacob Mooreland,jacob.mooreland@yahoo.com,46 to 55,36,3136.48,2016
CID0287,Jacob Scottman,jacob.scottman@yahoo.com,26 to 35,17,9664.25,2015
CID0288,Jacob Taylorson,jacob.taylorson@yahoo.com,66 to 70,63,1665.54,2015
CID0289,Jacob Whitehouse,jacob.whitehouse@yahoo.com,36 to 45,41,2804.02,2023
CID0290,James Andersonfield,james.andersonfield@yahoo.com,56 to 65,63,1035.68,2020
CID0291,James Brownfield,james.brownfield@yahoo.com,26 to 35,72,4990.48,2017
CID0292,James Clark,james.clark@yahoo.com,56 to 65,46,1116.69,2016
CID0293,James Clarkson,james.clarkson@yahoo.com,26 to 35,29,7451.65,2012
CID0294,James Davisfield,james.davisfield@yahoo.com,36 to 45,84,9887.41,2017
CID0295,James Greenway,james.greenway@yahoo.com,26 to 35,10,5746.06,2017
CID0296,James Hallwood,james.hallwood@yahoo.com,46 to 55,11,6541.72,2017
CID0297,James Harrington,james.harrington@yahoo.com,36 to 45,4,7368.92,2012
CID0298,James Lewisfield,james.lewisfield@yahoo.com,26 to 35,91,4844.62,2016
CID0299,James Martinezson,james.martinezson@yahoo.com,36 to 45,6,4065.87,2010
CID0300,James Scottman,james.scottman@yahoo.com,46 to 55,28,1432.9,2010
CID0301,James Walkerfield,james.walkerfield@yahoo.com,66 to 70,71,9674.18,2014
CID0302,James Whitehouse,james.whitehouse@yahoo.com,18 to 25,25,4500.15,2020
CID0303,James Youngs,james.youngs@yahoo.com,56 to 65,52,7851.75,2012
CID0304,Jamie White,jamie.white@yahoo.com,66 to 70,2,8751.2,2017
CID0305,Jane Brownfield,jane.brownfield@yahoo.com,46 to 55,97,2586.39,2011
CID0306,Jane Davisfield,jane.davisfield@yahoo.com,66 to 70,5,1368.9,2011
CID0307,Jane Johnsonson,jane.johnsonson@yahoo.com,46 to 55,94,6054.14,2023
CID0308,Jane Jonesfield,jane.jonesfield@yahoo.com,56 to 65,21,3461.32,2013
CID0309,Jane Millerfield,jane.millerfield@yahoo.com,36 to 45,17,285.02,2020
CID0310,Jane Mooreland,jane.mooreland@yahoo.com,18 to 25,30,6064.76,2014
CID0311,Jane Scott,jane.scott@yahoo.com,26 to 35,2,5652.49,2019
CID0312,Jane Smithson,jane.smithson@yahoo.com,36 to 45,64,2418.51,2019
CID0313,Jane Taylorson,jane.taylorson@yahoo.com,26 to 35,52,9537.03,2014
CID0314,Jane Williamson,jane.williamson@yahoo.com,18 to 25,6,2197.57,2016
CID0315,Jane Wilsonfield,jane.wilsonfield@yahoo.com,18 to 25,91,1543.92,2022
CID0316,Jared Harris,jared.harris@yahoo.com,66 to 70,89,4757.7,2018
CID0317,Jasmine Young,jasmine.young@yahoo.com,56 to 65,53,7431.6,2014
CID0318,Jayden Johnson,jayden.johnson@yahoo.com,36 to 45,60,5325.25,2021
CID0319,Jenna White,jenna.white@yahoo.com,46 to 55,36,7566.93,2011
CID0320,Jerome Wilson,jerome.wilson@yahoo.com,66 to 70,29,3192.64,2014
CID0321,Jesse Clark,jesse.clark@yahoo.com,56 to 65,73,1111.68,2020
